PA,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
6495,1658,5560,815,1520,284,89,164,784,238,C
8050,1863,6920,1239,2051,396,95,288,1283,96,C
10395,2528,9421,1305,2583,407,90,512,1636,50,I
4106,991,3703,556,996,144,46,16,498,189,C
6476,1589,5805,711,1526,232,108,32,715,177,C
7162,1810,6485,1001,1655,262,37,147,591,420,C
5120,1559,4557,627,1196,234,11,250,822,6,C
6580,1694,5770,952,1483,318,29,325,1006,71,C
2810,843,2627,281,616,94,6,102,327,7,C
8189,2033,7070,1076,1994,321,51,231,971,183,C
7223,1615,5904,1151,1696,319,109,44,695,151,C
5383,1448,5062,566,1500,205,57,65,585,35,C
8028,1865,7093,1094,2042,381,89,223,1247,54,I
4963,1154,4455,605,1226,140,38,7,329,208,C
7036,1676,5679,867,1662,289,82,23,518,156,C
1496,484,1352,124,327,46,17,3,155,20,C
205,67,186,25,54,8,4,1,24,5,C
4324,1130,4054,580,1036,172,28,135,441,168,C
5777,1544,5145,833,1424,229,57,164,703,50,C
13099,3034,11435,2245,4189,724,295,117,1944,896,I
5927,1472,4890,777,1243,220,18,303,953,5,C
6115,1536,5458,738,1642,267,29,215,903,97,C
9537,2298,8810,1369,2550,578,48,388,1561,98,C
9351,2282,8046,1108,2256,453,90,108,1071,70,C
2949,724,2698,392,659,79,28,5,265,127,C
7471,1720,6660,1018,1936,197,60,27,441,369,C
6719,1661,5816,877,1588,239,62,38,563,149,I
6878,1717,6258,861,1759,362,55,100,664,216,C
6602,1610,5599,932,1553,277,25,306,1015,53,C
6900,1774,6073,706,1591,241,35,200,758,24,C
12013,2968,10586,1445,2877,456,77,80,951,404,C
7735,1881,6650,964,1803,300,51,160,758,233,C
5895,1630,5803,782,1687,302,17,143,818,60,C
11742,2808,10383,1898,3040,553,73,604,1870,209,I
4536,1421,3974,518,1002,163,25,159,560,17,C
12883,3001,11551,1647,3184,603,44,431,1695,36,I
5936,1598,5071,605,1270,225,40,101,606,34,C
6675,1701,5886,986,1587,364,56,249,894,256,C
5276,1292,4344,627,1180,156,54,10,509,203,C
6313,1526,5683,737,1570,308,69,163,852,39,C
3716,1021,2931,361,752,118,22,50,282,26,C
5852,1474,5918,837,1675,329,36,221,860,100,C
7939,1896,7349,1012,2192,415,47,241,1125,89,C
7831,1783,7244,1071,2304,414,57,207,1085,134,I
4100,972,3507,618,1054,209,82,23,376,176,C
4264,965,4123,788,1188,232,53,40,364,81,C
7726,2002,6780,1024,1981,306,74,251,1005,115,C
6051,1493,5414,723,1421,204,75,26,467,324,C
3392,894,3073,373,862,164,14,121,468,59,C
5291,1495,5014,492,1347,272,27,85,618,14,C
4558,1144,3971,496,1004,162,9,160,591,23,C
5321,1666,4864,560,1105,187,46,93,534,15,C
6116,1434,5577,923,1748,363,55,230,937,95,C
9665,2164,8001,1888,2721,534,163,493,1995,102,I
7149,1806,6441,774,1690,263,114,31,783,336,I
5516,1533,4744,539,1120,136,45,7,267,127,C
10313,2543,8846,1649,2428,471,26,646,1805,19,I
8138,1853,7244,1470,2281,373,206,65,1240,458,I
8638,1922,7139,1082,2172,441,82,41,804,67,I
5577,1270,5087,931,1318,159,79,30,518,329,C
2764,860,2505,305,656,90,25,21,261,105,C
2324,856,2036,230,456,72,16,30,174,14,C
12817,3026,11595,1637,3317,564,36,509,1940,113,I
6998,1720,6215,798,1623,302,36,176,729,80,C
3988,1368,3476,510,881,137,18,116,441,128,C
6432,1842,5307,769,1506,264,90,59,710,121,C
4723,1165,4058,535,1093,170,22,89,514,88,C
6046,1461,5430,754,1471,275,84,34,552,181,C
7127,1760,6302,906,1715,347,18,242,992,88,C
4040,1043,3509,487,945,183,37,40,486,63,C
