PA,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
6062,1621,5687,885,1584,357,23,259,957,163,C
1372,564,1306,126,308,41,15,33,123,20,C
4530,1281,4148,606,1121,199,50,39,320,69,C
5832,1465,5043,603,1273,235,40,147,709,35,C
7836,1847,6811,1168,1982,437,57,299,1130,105,C
8674,2158,7658,1091,2048,381,24,389,1376,68,I
8155,2260,6571,704,1621,266,43,104,675,41,C
3872,1129,3310,321,777,107,12,46,250,21,C
11331,2524,10281,1999,3435,582,142,97,2075,277,I
7133,1993,6438,740,1692,260,68,27,597,168,C
8749,2014,7673,1117,2326,250,165,56,722,251,C
6072,1465,5931,819,1710,316,30,133,701,206,C
8400,1837,7510,1600,2597,522,186,101,1466,456,I
9224,2216,8158,1185,2354,409,75,85,775,88,I
2543,530,2513,555,869,133,44,11,449,26,C
6177,1488,5976,881,1652,267,55,49,462,239,C
4925,1192,4084,608,1210,157,86,46,522,126,C
6362,1747,5867,651,1705,305,41,102,766,32,C
3801,1061,3442,311,813,118,13,82,381,12,C
10184,2466,9788,1315,2808,544,77,350,1546,157,C
6380,1654,5931,559,1472,212,58,20,549,69,C
5260,1325,4640,563,1205,173,24,55,482,31,C
548,136,107,11,23,6,0,3,11,0,C
5739,1273,5120,1066,1493,191,53,44,732,468,I
4606,1051,3785,671,1053,162,81,17,364,233,C
3338,1042,2631,329,613,83,14,41,191,40,C
7155,1689,6556,1061,1936,388,25,434,1404,26,C
9607,2123,8535,1710,2915,242,145,33,808,496,I
5842,1406,5115,772,1386,297,22,266,946,37,C
4226,1536,3574,467,1082,120,49,28,408,46,C
8931,2353,7917,1036,2251,391,94,165,1077,317,C
7320,1832,6800,1135,1742,318,52,341,1039,248,C
5905,1423,5344,696,1558,229,32,113,701,48,C
7980,2011,6886,1242,1957,441,23,380,1173,71,C
5197,1584,4550,662,1205,190,30,197,666,49,C
9017,1990,8544,1737,2701,304,171,76,1067,626,C
8080,1941,7344,1125,1934,378,71,208,846,346,C
3083,810,2681,334,696,152,10,46,312,91,C
5215,1392,5383,680,1415,241,44,172,683,39,C
5715,1531,4940,760,1229,247,22,228,760,231,C
7315,1749,6332,1099,1848,320,79,351,1119,133,C
9907,2401,8102,1677,2415,344,72,536,1509,153,I
5665,1350,4663,711,1391,272,54,218,820,30,C
9676,2317,8029,1744,2631,454,125,536,1917,86,I
5135,1310,4508,714,1515,321,54,63,773,53,C
9053,2076,7869,1366,2336,449,55,287,1257,147,C
5619,1496,5053,778,1422,220,52,54,402,254,C
7565,1831,6960,1039,2006,414,91,122,1043,132,C
5997,1853,5436,536,1418,225,25,118,614,15,C
5986,1496,5399,705,1563,289,102,44,702,193,C
6535,1566,5707,914,1530,264,52,253,975,89,I
1291,349,1200,164,387,65,11,38,205,10,C
8204,1978,7093,1059,2047,378,94,171,1192,59,C
4940,1100,3880,1025,1302,124,72,14,460,434,C
7043,1931,6159,781,1584,236,44,191,784,86,C
4178,1050,3670,393,1011,169,72,43,516,83,C
8793,2158,7736,1033,2207,397,85,91,799,238,C
6880,1676,6301,870,1917,329,48,220,947,86,C
5476,1415,4722,562,1259,202,36,134,676,157,C
5295,1468,4547,499,1261,191,29,4,537,61,C
2215,709,1824,163,476,76,23,19,231,10,C
7402,1941,6707,662,1725,285,49,118,689,39,C
10737,2687,8855,1313,2190,320,35,405,1328,95,C
4149,1128,3424,429,834,129,26,56,307,41,C
9774,2302,8549,1600,2652,569,21,565,1884,38,C
6996,1730,6884,1126,1936,372,50,101,611,514,C
8379,2163,7755,769,2016,294,62,138,853,27,I
10769,2627,9927,1373,2774,503,98,438,1591,314,I
5952,1613,4993,874,1450,256,60,96,520,351,C
7433,1780,6903,954,1829,381,31,259,1052,98,C
9817,2507,8898,1114,2257,439,39,349,1315,98,C
6962,1832,5939,756,1736,292,36,169,935,23,C
8381,2012,6893,972,1785,246,68,47,708,186,C
4603,1200,3692,543,1091,186,28,98,560,55,C
3840,981,3437,410,900,158,81,33,456,182,C
6107,1491,5237,710,1359,215,59,7,520,140,C
7745,1912,6797,1020,2069,321,7,422,1314,16,I
3032,804,2540,336,726,100,41,40,320,87,C
9309,2344,7853,1188,2099,360,28,275,1073,50,C
7608,1594,6283,1697,2164,242,95,40,742,914,I
11229,2951,9880,1212,2751,508,48,298,1492,48,C
3193,890,2971,363,847,162,26,57,397,13,C
9736,2189,8365,1322,2574,317,109,29,586,234,I
7884,1955,6790,1055,1680,377,59,275,959,296,C
10254,2422,8856,1319,2749,440,102,45,1116,179,I
3048,991,2704,318,659,100,28,17,243,126,C
2873,711,2672,312,692,132,29,6,252,57,C
5800,1709,5341,902,1436,148,26,11,326,655,C
7722,1785,7003,1007,2153,442,20,222,1099,14,C
9853,2499,8756,1276,2356,421,47,376,1330,128,I
8102,2071,7030,1105,1921,295,48,370,1274,63,C
2224,866,2099,251,522,73,16,53,246,16,C
3620,813,3202,691,1056,134,80,39,579,400,C
9178,2171,7902,1171,2344,427,159,71,1021,212,C
7933,1919,7094,930,2033,304,114,52,883,358,C
5132,1470,4577,430,1106,202,32,81,524,15,C
2066,705,1709,183,386,57,16,31,167,22,C
2424,578,2095,330,515,65,33,6,204,14,C
9063,2234,7689,1152,2257,506,14,256,1226,11,C
8030,1988,6865,1348,2153,473,64,378,1304,228,C
1,1,1,0,0,0,0,0,0,0,C
2575,860,2082,199,621,98,18,42,331,16,C
9851,2246,8584,1622,2678,361,220,67,1015,509,I
4973,1168,4303,706,1257,254,45,43,496,12,C
6861,1860,6190,790,1614,303,83,111,759,219,C
6369,1525,6107,956,1659,339,52,284,902,244,C
10550,2469,9315,1424,3053,445,112,92,1015,353,I
10517,2392,9289,1542,2829,457,239,78,1510,291,I
8220,2008,6890,1033,1833,320,47,224,864,104,C
5228,1317,4563,640,1252,159,82,32,482,316,C
7454,1867,6440,883,1751,276,67,43,848,140,C
4522,1288,3575,407,945,144,18,125,619,3,C
9967,2390,8570,1386,2369,420,65,244,1084,143,C
10244,2323,8860,1774,2839,574,146,184,1427,181,I
5624,1397,4862,860,1552,285,77,196,913,154,C
5842,1295,4601,811,1253,241,44,75,500,200,C
8333,1903,7132,1141,2226,436,68,49,1055,74,I
4289,1903,4112,460,1087,169,18,30,370,131,C
5515,1270,4494,839,1383,220,47,17,389,51,C
8147,1967,7160,1069,2311,332,169,68,971,257,I
8250,1853,7241,1188,2077,362,108,41,611,383,C
12358,2973,10650,1613,3009,525,86,448,1767,223,I
719,220,628,50,141,22,2,9,58,3,C
6514,1455,5746,1186,1866,309,154,58,632,96,I
7162,1986,6136,950,1619,248,64,241,775,98,C
10917,2490,9736,1668,2769,522,109,235,1139,408,C
10359,2502,8939,1583,2626,438,114,169,979,809,I
8959,2165,8275,1187,2251,386,56,227,967,429,C
9997,2435,8673,1240,2380,424,30,350,1372,142,C
8287,2019,7060,982,1790,289,38,242,1039,75,C
7809,2042,6681,889,1776,270,11,339,1187,20,C
4838,1366,3574,521,907,152,40,114,417,57,C
3492,908,3043,364,793,128,69,20,369,85,C
6318,1651,6386,787,1873,312,16,217,984,26,C
5527,1555,4390,653,1060,179,20,201,674,36,C
7797,1988,6958,844,1756,296,26,320,1060,27,C
8508,1938,7278,1239,2193,363,81,57,642,165,C
3566,1084,2872,339,781,153,25,93,444,8,C
8329,2053,7318,1041,2105,451,21,281,1269,141,C
10400,2379,9132,1510,2752,514,82,211,1147,474,I
8525,2063,7398,1123,1963,394,67,195,860,91,C
5745,1485,4698,711,1132,210,16,245,732,23,C
7043,1777,6241,1037,1666,341,60,305,983,304,C
4646,1235,4124,532,1117,191,66,16,560,91,C
7669,1905,6619,1031,2036,372,99,108,998,62,C
4181,1112,3444,381,876,166,30,70,410,5,C
6478,1399,5640,1046,1680,308,57,87,618,100,C
527,152,477,42,104,9,3,0,34,6,C
4815,1215,4205,627,1161,178,18,242,856,25,I
8208,2079,7559,878,2057,321,106,69,714,239,C
9066,2152,8142,1200,2327,436,29,140,923,294,C
3823,1139,3411,357,819,142,21,71,347,13,C
2825,862,2724,187,711,95,26,6,301,19,C
7913,1942,7027,1105,2132,421,38,332,1287,106,C
4302,1082,4160,507,1191,234,8,87,508,21,C
4912,1312,3752,505,955,151,28,85,491,39,C
7424,1717,5814,1000,1738,364,92,79,883,250,C
6827,1672,5923,709,1619,216,68,18,675,155,C
10411,2444,9036,1590,2461,413,163,84,1234,548,C
6091,1806,4677,720,1317,212,70,52,546,103,C
12078,2826,9949,1821,3315,438,187,47,1300,741,I
9429,2138,8304,1684,2258,303,189,53,1072,568,I
6026,1468,5668,787,1668,256,73,58,499,263,C
6278,1652,5844,750,1604,306,20,188,768,24,C
6256,1472,4939,925,1374,208,38,348,957,22,I
5829,1637,5006,536,1229,193,52,23,529,28,C
6676,1539,5853,974,1726,389,21,381,1239,88,C
5677,1538,5579,781,1445,310,21,218,773,49,C
1982,540,1810,205,484,90,22,7,231,15,C
8787,2099,8101,1138,2311,471,19,378,1390,127,C
9401,2292,8488,1297,2202,373,28,354,1327,290,C
7403,1902,6462,820,1704,262,76,143,690,75,C
9778,2368,9187,1188,2788,540,78,214,1331,86,C
7632,1769,6940,913,1949,278,47,54,550,444,C
2507,499,2391,698,860,146,47,6,346,103,C
7367,1912,6277,868,1754,312,61,149,760,290,C
3322,846,2790,503,810,131,41,108,576,49,C
8559,2082,7189,985,2029,317,25,246,1065,21,C
7070,1731,6337,1075,1551,297,22,376,1145,122,C
9685,2456,8680,1074,2472,483,47,248,1389,21,C
10006,2410,9106,1289,2884,476,172,132,1248,205,I
5413,1345,4811,649,1318,253,68,92,536,85,C
5477,1516,5022,641,1243,201,48,117,500,44,C
6077,1547,5556,684,1468,287,39,179,810,25,C
7393,1766,6912,1009,1990,318,132,75,833,313,C
4213,1020,3777,560,1047,169,8,218,685,14,C
7874,1988,6868,973,1875,396,61,215,884,58,C
5076,1473,4109,483,1138,211,35,140,684,17,C
2849,852,2533,314,786,155,58,29,376,29,C
723,170,845,111,232,15,12,0,89,3,C
6449,1689,5536,720,1443,230,20,240,882,16,C
5845,1605,5446,623,1493,221,50,169,768,9,C
11255,2670,10078,1255,2605,380,177,28,884,291,I
9838,2409,8494,1157,2412,473,117,163,1256,133,C
6592,1587,6123,814,1702,308,34,265,1002,67,C
9620,2067,8426,1720,2850,320,182,75,952,389,I
6353,1490,5095,901,1415,249,83,231,901,58,C
8698,2124,7605,1077,2253,398,27,369,1331,133,I
8437,2442,7059,903,1872,300,31,200,1024,34,C
9282,2164,8385,1318,2386,403,76,282,1061,344,I
3146,946,2551,238,681,119,13,37,289,3,C
1605,702,1403,145,336,50,7,14,156,5,C
10403,2469,9645,1365,2757,485,127,256,1169,305,C
6299,1533,5345,964,1513,245,52,253,965,46,I
10947,2576,9074,1606,2638,466,26,499,1646,232,C
5277,1305,4673,733,1331,266,51,124,660,74,C
6208,1482,5169,1041,1652,333,64,119,832,64,I
6206,1534,5551,705,1645,318,24,127,916,25,C
5436,1259,4065,783,1088,176,34,29,348,46,C
5905,1546,5369,638,1453,273,21,162,745,23,C
1431,318,1470,246,403,52,11,2,160,6,C
4313,1309,3915,347,930,186,19,78,449,2,C
7782,2024,7829,985,2229,438,42,238,1195,66,C
8965,2147,7787,1291,2660,542,151,183,1539,113,I
11782,2896,10654,1232,2848,482,68,268,1357,28,I
5604,1367,5263,774,1354,269,18,318,964,15,C
5899,1444,4989,912,1508,292,93,105,712,132,C
9431,2150,7797,1517,2314,488,32,449,1529,202,I
5140,1237,4767,692,1242,234,75,74,637,130,C
4340,1161,3773,535,929,202,29,145,609,52,C
5082,1201,4553,809,1159,228,85,64,667,88,C
5737,1453,5144,681,1477,245,26,207,792,8,C
5206,1298,4700,719,1318,263,28,80,513,82,C
8545,2087,7550,1119,2188,425,166,84,1182,444,C
7637,1893,7276,860,1966,370,40,143,987,125,C
4865,1377,4597,531,1263,257,11,118,602,25,C
8059,2084,7218,940,2091,484,66,191,1097,109,C
8674,2055,7213,1219,2247,514,15,309,1261,49,C
1598,551,1462,117,320,56,5,26,148,3,C
9086,2380,7909,1231,2350,413,145,172,1310,70,I
5583,1573,5026,585,1276,179,18,179,657,26,C
3178,846,2865,331,726,92,34,8,239,128,C
4948,1322,5048,604,1457,193,36,81,564,133,C
7698,2017,7067,945,1923,333,50,140,795,332,C
9059,2147,8155,1328,2590,477,46,449,1496,181,I
6407,1632,5987,635,1593,288,30,128,778,33,C
6299,1463,5660,955,1759,182,82,39,617,254,C
6410,1512,5532,861,1620,270,10,328,1064,30,C
6057,1422,5554,732,1571,243,56,21,426,120,C
7372,1806,6552,887,1950,343,34,160,840,156,C
7745,1848,6978,1076,2156,426,21,294,1236,94,C
1959,663,1802,151,437,72,5,6,203,13,C
6794,1586,5558,948,1474,146,50,9,318,324,C
4730,1472,4366,538,1126,226,29,167,634,70,C
8133,2006,7454,1094,2107,444,59,196,987,554,C
11596,2834,10116,1622,3007,498,75,399,1583,137,I
6696,1647,5900,759,1578,284,90,27,762,202,C
6230,1552,5335,846,1720,384,106,171,946,89,C
5813,1799,5271,616,1357,186,42,85,491,65,C
7451,1891,6882,862,1795,364,34,256,992,30,C
5040,1261,4582,553,1214,222,47,38,480,60,C
8423,1975,7690,1299,2144,457,77,195,920,291,C
8230,1994,6847,1118,1826,332,39,340,1180,77,C
15890,3562,14235,2190,4293,743,137,160,1326,199,C
2979,807,2033,275,552,90,22,9,164,27,C
5839,1546,5099,664,1307,306,14,193,757,25,C
3054,861,2662,473,786,155,41,58,368,87,C
7737,1834,6470,1059,1660,335,69,209,764,313,C
8908,2212,8127,917,2093,436,35,264,1123,52,C
6044,1334,5446,1093,1645,294,121,71,794,195,C
7812,1977,6942,984,1909,300,42,353,1231,45,C
6608,1950,5861,618,1537,203,42,52,645,42,C
7437,1886,6652,926,1757,321,89,226,840,74,C
9896,2354,8798,1464,2401,377,45,607,1660,227,C
4545,1384,4136,422,1053,150,23,58,343,45,C
6957,1759,6357,851,1861,271,44,85,636,88,C
10009,2405,8846,1135,2476,413,56,192,1068,57,C
3940,1196,3703,297,843,111,20,8,273,11,C
1681,504,1400,90,287,39,10,2,97,15,C
6326,1583,5418,898,1401,256,38,335,1000,221,C
5572,1320,5208,685,1473,196,31,22,360,49,C
7370,1884,6808,1173,2107,381,83,376,1397,29,I
7297,1990,6432,867,1912,396,64,236,1179,28,I
8530,2078,7666,901,1935,255,78,14,523,98,C
10174,2460,8977,1355,2555,445,22,499,1561,76,C
8090,1849,6658,1181,1785,291,62,305,950,430,C
6673,1947,5907,769,1493,278,54,132,605,171,C
3265,1023,2575,296,650,142,10,54,294,4,C
6040,1390,5796,992,1529,207,68,28,883,416,C
1994,480,2141,237,476,50,29,3,143,26,C
9397,2243,8143,1138,2254,365,67,342,1331,35,I
7660,1874,6379,1177,1686,273,6,593,1453,11,C
6856,1704,6728,988,2009,423,29,283,1203,157,C
6418,1677,5546,837,1484,272,60,235,948,27,C
5406,1175,4827,942,1394,257,67,69,497,44,C
7347,1887,6449,947,1715,294,43,318,1152,14,C
7016,1816,6253,721,1613,245,55,43,656,36,C
6447,1620,5265,720,1343,204,19,249,855,20,C
8354,1991,7471,1177,2313,465,151,219,1422,58,I
9019,2296,7971,1025,2092,371,31,324,1225,39,I
4032,1086,3744,444,966,186,20,28,355,47,C
6077,1438,4685,733,1302,231,41,189,851,127,C
9013,2055,7825,1214,2657,400,160,98,1109,364,I
8664,2196,7599,1204,1933,383,36,434,1289,152,C
10766,2549,9329,1607,3114,599,190,111,1282,102,I
5256,1525,4437,546,1273,230,31,30,584,80,C
11230,2599,10230,1335,2677,394,92,83,791,506,I
5412,1399,4591,672,1210,189,18,265,809,11,C
8336,1982,7359,1004,2100,240,105,17,617,495,C
5693,1332,5126,894,1828,319,172,55,794,206,C
8811,1994,7595,1278,2231,270,77,22,688,285,C
4714,1458,3918,365,1220,236,22,72,608,5,C
1153,393,1049,54,237,31,3,9,66,3,C
4480,1119,4153,584,1219,203,76,94,723,38,C
6035,1533,5333,669,1466,220,72,28,661,159,C
8468,2324,7859,912,2006,407,58,160,886,178,C
5849,1335,5427,809,1615,258,53,79,513,46,C
1525,574,1391,78,297,42,3,8,101,3,C
10614,2499,8984,1619,2726,549,38,468,1623,150,I
8767,2155,7402,1115,1954,307,40,195,918,238,C
1436,459,1302,142,251,30,11,7,95,36,C
6899,1962,5984,616,1480,240,36,93,620,20,C
5389,1303,5239,781,1420,207,64,39,392,373,C
1326,615,1183,148,274,54,9,37,147,2,I
7109,1721,6428,1120,2193,373,112,154,1078,56,I
2148,715,1725,197,419,84,17,24,212,12,C
5013,1691,4237,430,1234,220,31,108,613,14,C
5646,1456,5160,755,1454,267,37,184,821,119,C
8333,1993,7565,1182,2397,276,117,27,589,66,I
4791,1264,4317,547,1155,163,97,40,579,317,C
5480,1531,4855,676,1361,226,56,62,435,217,C
6643,1659,5921,699,1499,207,77,8,528,256,C
3565,924,3316,415,883,100,31,17,245,51,C
9519,2215,9068,1546,3017,556,154,314,1869,88,I
7447,1725,6254,975,1850,325,111,60,917,182,I
8271,2079,7238,1026,1932,346,13,298,1211,24,C
10778,2573,9396,1257,2460,402,69,28,793,580,I
5717,1346,5139,656,1401,256,23,50,449,72,C
7838,1872,6914,974,1941,311,148,90,998,125,C
4356,1146,3889,544,1001,200,8,141,531,57,C
6628,1654,6024,913,1697,316,33,124,699,179,C
5115,1283,4625,777,1466,341,67,164,833,70,I
7100,1755,6441,797,1724,324,11,284,1027,59,C
