PlayerID,PA,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
cronijo01,8840,3.321,2124,7579,1233,2285,515,118,170,1424,87,I
luskech01,44,-0.22,11,41,8,8,3,1,0,3,0,NC
restomi01,297,-0.072857143,152,215,32,55,12,2,5,19,1,NC
scalzsk01,21,0.14,11,18,3,6,0,0,0,0,1,NC
winegra01,201,0.188333333,136,185,28,51,7,1,5,28,1,NC
wilhojo01,887,0.221666667,283,1094,124,284,31,7,5,85,38,NC
cockral01,9,-0.06,9,8,0,2,1,0,0,2,0,NC
thompan02,9,0.04,2,6,2,1,0,0,0,1,0,NC
lewis01,5,-0.05,1,5,1,1,0,0,0,0,0,NC
aaronha01,13941,6.217826087,3298,12364,2174,3771,624,98,755,2297,240,I
cullejo01,32,-0.27,9,31,2,6,0,0,0,0,0,NC
moorete01,5206,1.714545455,1298,4700,719,1318,263,28,80,513,82,C
roushed01,8147,2.381578947,1967,7160,1069,2311,332,169,68,971,257,I
lunahe01,867,-0.00625,339,890,117,238,48,6,17,100,28,NC
kreutch01,2932,0.426666667,944,2562,301,611,126,9,53,292,6,NC
plattal01,20,-0.32,9,18,1,2,1,0,0,0,0,NC
richaje01,171,-0.216666667,74,153,13,27,6,0,2,13,1,NC
sladear01,7,-0.15,2,7,0,0,0,0,0,0,0,NC
twinear01,193,0.255,52,175,30,55,6,1,1,27,2,NC
galaran01,8916,1.5855,2257,8183,1211,2345,448,31,402,1424,129,C
mattido01,7722,3.027142857,1785,7003,1007,2153,442,20,222,1099,14,C
elberki01,5276,2.202666667,1292,4344,627,1180,156,54,10,509,203,C
gleasro01,1,0.1,8,1,3,1,1,0,0,0,0,NC
lordbr01,3086,0.612222222,742,2698,349,675,114,45,12,233,72,NC
kernajo01,8,0.02,2,8,1,3,0,0,0,1,0,NC
galvijo01,4,-0.13,1,4,0,0,0,0,0,0,0,NC
marsaar01,2549,0.283,655,2526,299,674,78,17,2,246,185,NC
davisjj01,117,-0.3275,67,106,6,19,1,0,1,9,3,NC
ziesbi01,3,0.01,2,3,0,1,0,0,0,0,0,NC
ordonre01,3407,0.137777778,973,3115,291,767,129,17,12,287,28,NC
kuheljo01,9094,1.400526316,2104,7766,1214,2150,403,108,127,1031,174,C
cimolgi01,3358,0.1125,969,2955,357,797,128,47,41,320,20,NC
huntele01,4,-0.04,1,4,1,1,0,0,0,0,0,NC
