PA,R,H,2B,HR,RBI,SB,HallOfFame
8204,1059,2047,378,171,1192,59,C
4940,1025,1302,124,14,460,434,C
7043,781,1584,236,191,784,86,C
4178,393,1011,169,43,516,83,C
8793,1033,2207,397,91,799,238,C
6880,870,1917,329,220,947,86,C
5476,562,1259,202,134,676,157,C
5295,499,1261,191,4,537,61,C
2215,163,476,76,19,231,10,C
7402,662,1725,285,118,689,39,C
10737,1313,2190,320,405,1328,95,C
4149,429,834,129,56,307,41,C
9774,1600,2652,569,565,1884,38,C
6996,1126,1936,372,101,611,514,C
8379,769,2016,294,138,853,27,I
10769,1373,2774,503,438,1591,314,I
5952,874,1450,256,96,520,351,C
7433,954,1829,381,259,1052,98,C
9817,1114,2257,439,349,1315,98,C
6962,756,1736,292,169,935,23,C
8381,972,1785,246,47,708,186,C
4603,543,1091,186,98,560,55,C
3840,410,900,158,33,456,182,C
6107,710,1359,215,7,520,140,C
7745,1020,2069,321,422,1314,16,I
3032,336,726,100,40,320,87,C
9309,1188,2099,360,275,1073,50,C
7608,1697,2164,242,40,742,914,I
11229,1212,2751,508,298,1492,48,C
3193,363,847,162,57,397,13,C
9736,1322,2574,317,29,586,234,I
7884,1055,1680,377,275,959,296,C
10254,1319,2749,440,45,1116,179,I
3048,318,659,100,17,243,126,C
2873,312,692,132,6,252,57,C
5800,902,1436,148,11,326,655,C
7722,1007,2153,442,222,1099,14,C
9853,1276,2356,421,376,1330,128,I
8102,1105,1921,295,370,1274,63,C
2224,251,522,73,53,246,16,C
3620,691,1056,134,39,579,400,C
9178,1171,2344,427,71,1021,212,C
7933,930,2033,304,52,883,358,C
5132,430,1106,202,81,524,15,C
2066,183,386,57,31,167,22,C
2424,330,515,65,6,204,14,C
9063,1152,2257,506,256,1226,11,C
8030,1348,2153,473,378,1304,228,C
1,0,0,0,0,0,0,C
2575,199,621,98,42,331,16,C
9851,1622,2678,361,67,1015,509,I
4973,706,1257,254,43,496,12,C
6861,790,1614,303,111,759,219,C
6369,956,1659,339,284,902,244,C
10550,1424,3053,445,92,1015,353,I
10517,1542,2829,457,78,1510,291,I
8220,1033,1833,320,224,864,104,C
5228,640,1252,159,32,482,316,C
7454,883,1751,276,43,848,140,C
4522,407,945,144,125,619,3,C
9967,1386,2369,420,244,1084,143,C
10244,1774,2839,574,184,1427,181,I
5624,860,1552,285,196,913,154,C
5842,811,1253,241,75,500,200,C
8333,1141,2226,436,49,1055,74,I
4289,460,1087,169,30,370,131,C
5515,839,1383,220,17,389,51,C
8147,1069,2311,332,68,971,257,I
8250,1188,2077,362,41,611,383,C
12358,1613,3009,525,448,1767,223,I
719,50,141,22,9,58,3,C
6514,1186,1866,309,58,632,96,I
7162,950,1619,248,241,775,98,C
10917,1668,2769,522,235,1139,408,C
10359,1583,2626,438,169,979,809,I
8959,1187,2251,386,227,967,429,C
9997,1240,2380,424,350,1372,142,C
8287,982,1790,289,242,1039,75,C
7809,889,1776,270,339,1187,20,C
4838,521,907,152,114,417,57,C
3492,364,793,128,20,369,85,C
6318,787,1873,312,217,984,26,C
5527,653,1060,179,201,674,36,C
7797,844,1756,296,320,1060,27,C
8508,1239,2193,363,57,642,165,C
3566,339,781,153,93,444,8,C
8329,1041,2105,451,281,1269,141,C
10400,1510,2752,514,211,1147,474,I
8525,1123,1963,394,195,860,91,C
5745,711,1132,210,245,732,23,C
7043,1037,1666,341,305,983,304,C
4646,532,1117,191,16,560,91,C
7669,1031,2036,372,108,998,62,C
4181,381,876,166,70,410,5,C
6478,1046,1680,308,87,618,100,C
527,42,104,9,0,34,6,C
4815,627,1161,178,242,856,25,I
8208,878,2057,321,69,714,239,C
9066,1200,2327,436,140,923,294,C
3823,357,819,142,71,347,13,C
2825,187,711,95,6,301,19,C
7913,1105,2132,421,332,1287,106,C
4302,507,1191,234,87,508,21,C
4912,505,955,151,85,491,39,C
7424,1000,1738,364,79,883,250,C
6827,709,1619,216,18,675,155,C
10411,1590,2461,413,84,1234,548,C
6091,720,1317,212,52,546,103,C
12078,1821,3315,438,47,1300,741,I
9429,1684,2258,303,53,1072,568,I
6026,787,1668,256,58,499,263,C
6278,750,1604,306,188,768,24,C
6256,925,1374,208,348,957,22,I
5829,536,1229,193,23,529,28,C
6676,974,1726,389,381,1239,88,C
5677,781,1445,310,218,773,49,C
1982,205,484,90,7,231,15,C
8787,1138,2311,471,378,1390,127,C
9401,1297,2202,373,354,1327,290,C
7403,820,1704,262,143,690,75,C
9778,1188,2788,540,214,1331,86,C
7632,913,1949,278,54,550,444,C
2507,698,860,146,6,346,103,C
7367,868,1754,312,149,760,290,C
3322,503,810,131,108,576,49,C
8559,985,2029,317,246,1065,21,C
7070,1075,1551,297,376,1145,122,C
9685,1074,2472,483,248,1389,21,C
10006,1289,2884,476,132,1248,205,I
5413,649,1318,253,92,536,85,C
5477,641,1243,201,117,500,44,C
6077,684,1468,287,179,810,25,C
7393,1009,1990,318,75,833,313,C
4213,560,1047,169,218,685,14,C
7874,973,1875,396,215,884,58,C
5076,483,1138,211,140,684,17,C
2849,314,786,155,29,376,29,C
723,111,232,15,0,89,3,C
6449,720,1443,230,240,882,16,C
5845,623,1493,221,169,768,9,C
11255,1255,2605,380,28,884,291,I
9838,1157,2412,473,163,1256,133,C
6592,814,1702,308,265,1002,67,C
9620,1720,2850,320,75,952,389,I
6353,901,1415,249,231,901,58,C
8698,1077,2253,398,369,1331,133,I
