PA,R,H,HR,RBI,HallOfFame
9833,1283,2086,573,1584,I
948,109,255,6,109,NC
2012,215,386,3,167,NC
339,23,57,0,17,NC
1586,179,402,28,178,NC
9,2,2,0,0,NC
5258,759,1236,233,771,NC
111,11,23,0,7,NC
64,9,12,0,0,NC
4,0,0,0,2,NC
2941,270,736,59,317,NC
4,0,0,0,0,NC
283,37,54,0,17,NC
49,6,10,2,3,NC
2960,345,596,5,119,NC
5847,791,1267,265,825,C
19,1,2,0,2,NC
2353,259,598,13,214,NC
16,2,3,0,1,NC
4,0,0,0,0,NC
8359,1175,2150,358,1430,I
566,75,136,10,66,NC
4614,551,1031,47,422,NC
4702,573,1117,19,511,NC
1361,134,315,7,98,NC
847,65,189,10,79,NC
19,5,3,0,1,NC
101,11,21,0,1,NC
2373,267,543,86,310,NC
6,0,0,0,0,NC
2251,233,527,44,223,NC
32,4,4,2,5,NC
47,4,5,0,4,NC
1,0,0,0,0,NC
1943,122,362,1,111,NC
6,0,1,0,1,NC
1,0,0,0,0,NC
74,3,10,3,8,NC
942,81,205,3,71,NC
1322,126,330,2,111,NC
890,60,175,0,73,NC
1299,121,282,2,126,NC
819,90,163,1,24,NC
20,3,3,0,0,NC
3890,337,802,41,268,NC
30,3,5,0,3,NC
207,17,46,0,13,NC
233,27,38,0,1,NC
102,9,16,0,7,NC
1347,148,290,19,122,NC
1577,160,327,5,153,NC
2,0,0,0,0,NC
0,0,0,0,0,NC
402,41,95,0,32,NC
3682,695,821,19,348,NC
15,13,3,0,1,NC
25,1,2,0,3,NC
10,4,2,0,0,NC
11,0,2,0,1,NC
2183,188,497,13,156,NC
1634,145,357,16,140,NC
4397,488,972,75,404,NC
1705,227,402,55,214,NC
1924,205,460,18,183,NC
750,87,155,0,48,NC
2756,352,775,59,350,NC
11,7,1,0,0,NC
3,0,0,0,0,NC
155,10,33,3,10,NC
2,0,0,0,0,NC
1,0,0,0,0,NC
812,54,157,6,62,NC
276,41,59,0,15,NC
1728,170,414,44,208,NC
27,2,6,0,2,NC
3787,423,950,133,521,NC
3,0,0,0,1,NC
119,17,25,0,11,NC
321,33,73,6,40,NC
17,2,5,0,1,NC
5166,657,1400,130,726,C
158,8,22,0,10,NC
815,33,107,2,33,NC
1,0,0,0,0,NC
132,9,26,0,8,NC
5448,553,1316,45,592,NC
2039,248,458,86,305,NC
31,5,6,2,4,NC
38,5,6,0,7,NC
63,4,13,0,6,NC
342,30,56,5,27,NC
153,13,41,0,13,NC
1699,124,282,16,165,NC
12,1,1,0,0,NC
1050,111,232,31,132,NC
26,2,3,0,0,NC
7,0,1,0,0,NC
7,0,1,0,0,NC
4,2,1,1,2,NC
18,2,5,0,0,NC
36,3,11,1,4,NC
315,33,77,5,27,NC
828,49,176,22,109,NC
4910,518,987,10,418,C
4,1,1,0,0,NC
2,0,0,0,0,NC
1906,183,341,10,118,NC
448,37,85,2,27,NC
20,1,5,0,0,NC
5,1,2,0,1,NC
595,57,141,12,64,NC
26,2,4,0,3,NC
5538,553,1225,21,514,NC
30,3,5,0,2,NC
678,69,149,9,66,NC
2,0,2,0,2,NC
17,2,2,0,1,NC
134,17,29,0,9,NC
6368,645,1396,162,654,C
215,22,51,2,23,NC
264,27,65,13,40,NC
3340,360,742,18,234,NC
20,2,8,0,3,NC
3640,315,807,75,377,NC
3844,443,946,70,420,NC
1524,187,345,5,132,NC
32,4,7,0,0,NC
4810,500,1239,41,432,NC
2111,166,336,35,123,NC
0,0,0,0,0,NC
3722,349,829,34,287,NC
11,1,3,0,1,NC
9,3,1,0,0,NC
749,111,165,22,86,NC
3593,307,660,77,295,NC
663,65,150,24,71,NC
684,80,175,4,74,NC
27,1,4,0,0,NC
1616,152,340,9,117,NC
1331,123,205,38,134,NC
74,4,10,0,1,NC
4615,418,906,11,325,NC
4104,393,969,104,449,NC
647,40,52,6,19,NC
5246,567,1394,15,406,NC
2879,380,653,4,190,NC
2217,244,565,33,222,NC
3595,544,920,1,357,NC
22,3,4,0,1,NC
1467,170,325,12,106,NC
27,4,7,0,5,NC
3766,372,880,57,453,NC
0,0,0,0,0,NC
98,6,11,0,2,NC
311,25,70,0,21,NC
5303,925,1429,53,836,NC
1726,205,397,7,176,NC
14,2,3,0,0,NC
22,5,2,0,1,NC
5729,523,1187,142,548,C
9,0,1,0,0,NC
39,3,7,0,6,NC
0,0,0,0,0,NC
10,0,2,0,0,NC
1051,105,230,22,134,NC
125,8,29,1,11,NC
98,14,20,0,7,NC
2615,251,633,20,238,NC
432,54,105,4,28,NC
2287,356,522,135,358,NC
1815,244,400,7,197,NC
2868,285,573,58,239,NC
3347,378,738,41,322,NC
49,6,20,0,8,NC
2038,198,421,23,172,NC
4777,720,1202,18,543,NC
330,13,57,4,19,NC
31,3,6,0,2,NC
283,38,63,2,30,NC
226,25,57,6,23,NC
2597,338,694,100,363,NC
1806,153,294,31,159,NC
3890,454,876,166,565,NC
5,1,0,0,0,NC
90,6,14,0,4,NC
8,0,1,0,0,NC
78,8,15,0,5,NC
17,1,3,0,1,NC
3200,281,714,27,269,NC
213,26,55,0,9,NC
226,20,56,0,18,NC
2269,242,520,22,303,NC
0,0,0,0,0,NC
269,27,58,1,26,NC
828,76,195,24,112,NC
3532,243,710,55,327,NC
7471,1018,1936,27,441,C
4,0,1,0,0,NC
23,3,6,0,4,NC
429,42,96,3,47,NC
16,1,3,0,0,NC
234,19,52,1,27,NC
79,12,17,0,8,NC
1167,172,301,1,116,NC
30,6,8,0,0,NC
22,3,1,1,2,NC
6780,753,1603,40,877,NC
4,0,0,0,1,NC
30,7,5,1,4,NC
93,14,23,3,12,NC
5276,749,1171,28,345,NC
12,0,2,0,1,NC
1459,234,352,4,134,NC
336,31,64,1,31,NC
706,83,139,25,92,NC
199,23,38,3,17,NC
2557,321,597,42,329,NC
1030,94,170,0,87,NC
13346,2305,3094,304,1129,I
1,0,0,0,0,NC
750,84,173,2,55,NC
303,23,59,9,33,NC
1768,207,382,19,154,NC
171,18,30,1,7,NC
6,0,0,0,0,NC
746,84,159,14,69,NC
193,16,41,0,16,NC
1902,212,479,24,227,NC
1431,246,403,2,160,C
62,5,11,0,3,NC
4518,560,894,4,295,NC
665,60,145,8,63,NC
154,14,19,2,12,NC
6,0,1,0,0,NC
366,23,79,4,38,NC
1710,180,345,24,161,NC
700,56,124,1,41,NC
14,2,1,1,1,NC
13,1,0,0,1,NC
606,67,144,20,88,NC
106,12,25,0,8,NC
149,12,29,1,16,NC
187,14,44,2,15,NC
10099,1532,2880,105,1244,I
36,8,4,0,0,NC
91,10,15,2,7,NC
4047,431,855,122,480,NC
32,0,0,0,0,NC
2,0,1,0,0,NC
2321,188,514,13,211,NC
843,72,165,3,65,NC
282,24,63,3,15,NC
341,27,76,4,27,NC
206,20,41,3,23,NC
1158,107,305,15,138,NC
926,95,193,2,42,NC
15,1,2,0,0,NC
7745,1076,2156,294,1236,C
7722,1173,2103,96,926,I
1288,124,259,29,125,NC
1705,213,377,48,198,NC
3587,399,857,35,454,NC
143,17,17,1,13,NC
65,6,14,0,12,NC
99,28,46,0,0,NC
547,41,116,0,36,NC
18,1,1,0,1,NC
98,14,21,2,12,NC
4590,496,1058,147,625,NC
151,10,23,0,9,NC
1,0,0,0,0,NC
128,9,26,0,6,NC
469,50,94,3,34,NC
8400,1600,2597,101,1466,I
113,27,25,1,17,NC
424,38,93,15,41,NC
2982,287,642,8,189,NC
16,3,3,2,3,NC
394,47,90,12,48,NC
88,5,14,1,8,NC
1659,147,344,29,148,NC
713,60,151,3,73,NC
160,15,37,0,10,NC
30,4,2,0,2,NC
4066,621,941,94,382,NC
1,0,0,0,0,NC
7454,883,1751,43,848,C
118,7,28,1,9,NC
9838,1157,2412,163,1256,C
624,44,142,17,67,NC
69,8,9,0,1,NC
6334,714,1469,6,442,C
1391,138,347,5,112,NC
8306,1033,2047,16,427,C
24,0,4,0,1,NC
169,17,37,5,19,NC
894,78,195,13,97,NC
31,0,2,0,4,NC
925,73,194,6,89,NC
1,0,0,0,0,NC
97,6,16,0,7,NC
1768,169,364,42,225,C
1329,164,278,0,81,NC
1202,99,222,0,64,NC
20,2,4,0,2,NC
848,100,180,1,29,NC
10947,1606,2638,499,1646,C
4432,580,1095,25,476,NC
135,11,25,0,4,NC
11,2,0,0,0,NC
625,69,123,8,46,NC
55,0,3,0,2,NC
473,45,96,11,48,NC
3430,441,795,27,404,NC
758,96,179,0,37,NC
4001,367,954,9,329,NC
313,23,78,4,45,NC
25,1,3,0,1,NC
5832,644,1317,54,435,NC
61,3,10,1,5,NC
562,80,94,6,35,NC
161,10,22,0,10,NC
1,0,0,0,0,NC
274,78,96,0,54,NC
2155,371,559,13,197,NC
2382,264,530,16,173,NC
21,2,2,0,2,NC
313,23,61,4,21,NC
435,46,50,1,11,NC
5845,623,1493,169,768,C
1268,142,245,12,59,NC
493,51,109,8,58,NC
10,1,1,0,0,NC
2,0,0,0,0,NC
57,12,10,1,3,NC
2773,312,726,40,275,NC
6,0,2,0,2,NC
1876,142,286,6,119,NC
816,72,195,8,64,NC
7,0,3,0,1,NC
244,30,51,1,22,NC
22,0,2,0,0,NC
2,0,0,0,0,NC
544,81,134,3,59,NC
64,7,11,1,8,NC
54,4,11,2,5,NC
73,6,12,0,7,NC
56,5,14,0,5,NC
15,2,2,0,0,NC
1,0,1,0,0,NC
210,23,37,3,17,NC
446,68,124,7,60,NC
2,0,0,0,0,NC
2,0,0,0,0,NC
2079,254,451,22,208,NC
702,93,165,2,67,NC
910,125,202,5,53,NC
1289,134,268,8,93,NC
1,0,0,0,0,NC
52,3,12,0,5,NC
2018,163,312,25,167,NC
10,5,2,1,1,NC
496,47,94,8,35,NC
4623,655,950,29,358,NC
22,2,3,0,1,NC
1547,200,396,14,163,NC
71,8,13,2,6,NC
224,25,38,4,10,NC
586,58,90,2,33,NC
1757,117,367,35,188,NC
2,0,0,0,0,NC
289,35,52,2,26,NC
4,0,1,0,0,NC
1012,165,245,2,71,NC
283,38,67,6,28,NC
1387,93,250,19,134,NC
8385,1429,2048,40,725,NC
1656,173,394,17,136,NC
5668,696,1423,118,679,NC
1729,223,380,22,148,NC
26,3,5,0,2,NC
18,1,3,0,0,NC
74,5,9,2,8,NC
7565,1039,2006,122,1043,C
809,81,149,16,60,NC
3010,345,721,37,383,NC
19,0,2,0,0,NC
908,108,179,27,90,NC
33,7,6,1,1,NC
1142,202,273,3,91,NC
193,29,31,1,0,NC
291,38,50,4,14,NC
1208,83,287,0,108,NC
374,37,73,8,41,NC
7220,904,1634,11,526,I
811,87,205,12,105,NC
22,1,4,0,0,NC
51,6,10,0,4,NC
444,51,110,0,23,NC
7,1,2,0,1,NC
744,92,163,36,121,NC
3659,462,829,22,219,NC
228,21,33,5,24,NC
8177,1285,2164,363,1238,C
8965,1291,2660,183,1539,I
63,5,13,1,5,NC
1348,122,297,6,121,NC
616,44,102,10,62,NC
5641,721,1452,117,627,NC
9,3,4,0,2,NC
2594,328,597,76,306,NC
9822,1192,2501,181,1020,NC
321,33,48,0,19,NC
0,0,0,0,0,NC
8657,1241,2038,473,1512,C
2182,345,568,7,153,NC
218,21,41,4,35,NC
29,3,7,0,1,NC
3569,492,801,129,482,NC
4,1,2,0,0,NC
487,29,88,0,34,NC
3,0,0,0,0,NC
3835,480,938,122,540,NC
327,35,73,8,43,NC
2025,292,519,12,153,NC
46,6,7,2,5,NC
426,5,14,4,12,NC
1602,109,259,11,126,NC
1185,138,282,3,75,NC
548,11,23,3,11,C
953,118,274,8,121,NC
5481,733,1313,35,386,NC
1152,131,282,8,103,NC
7412,915,1779,96,797,C
14,1,1,0,0,NC
53,2,14,0,3,NC
78,2,16,1,8,NC
1012,96,217,1,111,NC
11,0,2,0,0,NC
629,72,133,11,74,NC
27,3,2,0,0,NC
569,42,111,6,55,NC
4,0,1,0,0,NC
1729,164,329,34,113,NC
1445,130,369,2,97,NC
0,0,0,0,0,NC
30,3,6,0,2,NC
1244,136,297,15,139,NC
1116,94,241,17,126,NC
218,39,56,2,28,NC
6240,579,1345,11,594,I
549,67,109,15,53,NC
522,54,122,11,51,NC
41,3,12,0,4,NC
200,19,38,4,15,NC
249,19,52,3,18,NC
237,25,44,1,26,NC
175,24,40,1,14,NC
89,5,19,0,7,NC
1884,202,391,25,163,C
2237,253,495,36,217,NC
993,125,218,17,113,NC
7,2,2,0,0,NC
4604,725,1085,189,760,C
343,36,79,3,26,NC
493,56,117,15,75,NC
1816,239,410,59,223,NC
4,0,0,0,0,NC
1095,150,249,24,122,NC
1357,118,254,26,144,NC
1081,125,233,32,130,NC
3,0,0,0,0,NC
1660,182,367,37,140,NC
2784,236,578,15,198,NC
2,0,0,0,0,NC
2841,376,741,17,220,NC
1038,91,225,0,57,NC
10,2,1,0,0,NC
203,17,49,1,25,NC
52,9,12,2,7,NC
153,1,13,0,5,NC
885,92,223,25,106,NC
118,7,17,0,5,NC
41,2,9,0,1,NC
6046,682,1530,219,882,NC
57,5,8,1,0,NC
92,10,20,1,7,NC
282,24,53,4,22,NC
66,4,14,0,5,NC
1007,72,168,14,82,NC
246,19,70,1,39,NC
4736,596,1103,123,528,NC
38,2,7,0,2,NC
394,179,256,15,0,NC
1237,114,313,1,159,NC
127,6,20,0,6,NC
18,0,4,0,2,NC
244,34,65,0,28,NC
45,8,10,0,0,NC
9,0,1,0,0,NC
2577,305,621,26,214,NC
29,3,6,0,2,NC
6,0,0,0,0,NC
4,0,0,0,0,NC
3784,417,849,143,501,NC
150,19,30,1,13,NC
1368,149,350,2,168,NC
3,0,0,0,0,NC
9,0,2,0,0,NC
2432,328,501,12,134,NC
4040,424,946,24,432,NC
2266,151,441,30,173,NC
2575,199,621,42,331,C
193,29,46,0,7,NC
28,4,4,0,2,NC
67,5,11,0,2,NC
1090,113,240,6,114,NC
19,0,1,0,0,NC
648,73,149,10,68,NC
624,56,126,8,51,NC
88,5,13,0,0,NC
1,0,1,0,0,NC
73,7,16,2,6,NC
1351,128,270,66,193,NC
5905,696,1558,113,701,C
228,20,37,2,25,NC
12,1,4,0,0,NC
707,96,169,5,86,NC
4,0,1,0,0,NC
168,26,44,0,27,NC
697,78,131,3,38,NC
5,0,0,0,1,NC
4,0,0,0,0,NC
750,89,131,7,35,NC
3221,341,654,55,295,NC
482,31,80,3,37,NC
46,4,4,0,0,NC
473,69,128,0,56,NC
326,31,83,0,35,NC
97,13,19,2,7,NC
66,6,10,0,4,NC
495,59,111,6,45,NC
2463,242,578,108,356,NC
4,0,0,0,0,NC
838,94,186,8,79,NC
386,32,78,0,16,NC
61,9,9,1,1,NC
1317,164,295,55,175,NC
351,31,57,4,27,NC
58,8,15,1,10,NC
5,1,0,0,0,NC
130,10,32,0,12,NC
45,5,10,0,1,NC
12504,1844,3060,291,1175,I
5,0,1,0,0,NC
1570,177,351,12,110,NC
38,1,10,0,3,NC
6,1,0,0,0,NC
565,54,118,12,48,NC
174,16,27,2,15,NC
2893,366,731,99,443,I
1640,190,383,55,197,NC
83,6,12,0,0,NC
3693,518,925,106,529,NC
27,6,5,0,6,NC
861,97,140,1,43,NC
1803,202,415,31,149,NC
2182,299,474,8,253,NC
2320,367,523,34,336,NC
4597,499,995,33,300,NC
560,49,123,8,47,NC
17,1,2,0,0,NC
77,6,18,0,8,NC
24,3,5,0,1,NC
878,54,148,4,53,NC
24,6,6,0,4,NC
1084,200,288,1,157,NC
15,1,4,0,2,NC
2202,175,470,4,176,NC
256,26,48,2,25,NC
21,2,4,0,2,NC
79,6,17,2,7,NC
30,5,6,1,4,NC
6447,772,1611,16,558,NC
2,0,1,0,0,NC
10037,1019,2571,159,1128,C
1949,206,513,11,211,NC
93,8,17,2,14,NC
4208,428,852,100,399,NC
12,1,3,0,0,NC
9059,1328,2590,449,1496,I
101,12,16,0,4,NC
468,41,98,1,38,NC
3,0,0,0,0,NC
5406,942,1394,69,497,C
20,2,1,0,2,NC
531,39,116,0,35,NC
2,0,0,0,0,NC
11,1,2,1,2,NC
725,48,157,7,65,NC
186,21,37,7,36,NC
5,0,1,0,0,NC
925,136,180,1,52,NC
9620,1720,2850,75,952,I
0,0,0,0,0,NC
3459,438,910,17,328,NC
114,12,18,0,2,NC
5027,535,1234,124,549,NC
4817,613,1193,136,536,NC
385,40,73,1,13,NC
1787,269,505,27,263,NC
13,0,0,0,0,NC
0,0,0,0,0,NC
142,7,21,0,7,NC
10,0,2,0,0,NC
2032,197,478,33,211,NC
17,1,3,0,2,NC
340,20,66,1,21,NC
13,0,1,0,1,NC
2485,332,694,55,334,NC
0,0,0,0,0,NC
3672,504,966,107,471,NC
932,126,210,29,121,NC
525,33,60,0,23,NC
14,2,0,0,0,NC
4018,403,750,16,256,NC
135,32,54,0,0,NC
254,30,64,1,20,NC
9,1,1,0,0,NC
14,2,3,0,0,NC
8317,1169,2207,41,585,C
260,31,65,1,26,NC
2265,237,426,64,217,NC
32,2,3,0,3,NC
101,8,18,0,4,NC
156,9,39,0,16,NC
104,20,26,0,14,NC
4536,518,1002,159,560,C
189,20,35,5,22,NC
90,8,16,0,1,NC
159,13,34,2,16,NC
405,28,59,2,23,NC
577,88,120,8,41,NC
2798,371,684,46,230,NC
1,0,0,0,0,NC
2581,311,510,105,323,NC
5994,603,1388,97,623,NC
56,9,10,1,1,NC
3698,318,853,105,489,NC
3,0,1,0,0,NC
280,32,67,0,4,NC
6,0,2,0,0,NC
102,13,24,1,8,NC
8,0,0,0,0,NC
1686,161,355,30,141,NC
11,4,3,0,2,NC
1648,207,410,6,174,NC
5,1,1,0,2,NC
50,7,11,0,5,NC
115,15,30,3,16,NC
93,9,15,0,11,NC
5,0,1,0,1,NC
1147,107,234,17,111,NC
358,43,73,7,42,NC
57,6,12,1,11,NC
419,42,84,13,49,NC
1039,118,252,1,83,NC
5616,612,1287,45,464,NC
3478,369,789,35,318,NC
26,0,3,0,0,NC
254,27,49,1,16,NC
1,0,0,0,0,NC
1065,128,222,14,117,NC
366,48,66,3,31,NC
3200,348,760,26,327,NC
81,9,12,1,7,NC
253,34,44,7,30,NC
109,8,14,0,5,NC
4,1,2,0,2,NC
1510,156,252,1,84,NC
1954,217,420,5,144,NC
605,44,122,0,30,NC
4461,421,908,8,333,NC
77,6,6,0,2,NC
3,0,0,0,0,NC
10400,1510,2752,211,1147,I
59,7,10,0,5,NC
369,27,87,3,37,NC
250,29,42,14,33,NC
860,92,189,0,70,NC
36,3,5,0,2,NC
630,37,75,1,29,NC
19,1,5,0,1,NC
401,44,92,6,60,NC
218,17,40,3,29,NC
4289,357,1005,4,347,NC
125,12,26,1,6,NC
848,122,270,0,0,NC
4707,449,1176,11,557,NC
3178,322,733,86,398,NC
1,0,0,0,0,NC
445,49,127,0,26,NC
618,97,153,10,93,NC
1,0,0,0,0,NC
160,18,30,0,14,NC
4233,487,998,15,380,NC
742,89,143,4,39,NC
3,0,0,0,0,NC
4,0,1,0,0,NC
74,8,13,1,12,NC
3475,288,939,61,474,NC
9053,1366,2336,287,1257,C
100,12,16,2,10,NC
3755,423,943,28,368,NC
353,52,75,0,21,NC
511,59,116,14,47,NC
7155,1061,1936,434,1404,C
3928,507,959,153,542,NC
2,0,0,0,0,NC
8,0,0,0,0,NC
4,0,0,0,0,NC
259,26,59,4,26,NC
231,14,35,4,22,NC
117,5,25,0,3,NC
68,9,15,2,4,NC
171,11,40,0,23,NC
7,0,1,0,0,NC
45,7,5,1,7,NC
3411,532,1111,35,616,NC
10006,1289,2884,132,1248,I
813,89,172,8,78,NC
541,34,136,1,52,NC
13,0,3,0,0,NC
210,17,35,0,13,NC
824,91,158,1,59,NC
8,0,1,0,0,NC
2840,487,846,22,455,NC
470,75,124,1,3,NC
4,0,0,0,0,NC
434,67,103,5,6,NC
259,22,49,4,29,NC
82,7,20,0,8,NC
62,7,13,0,7,NC
32,2,7,0,9,NC
73,5,14,0,6,NC
3798,334,772,61,480,NC
263,25,53,1,15,NC
38,3,5,0,1,NC
79,2,13,0,7,NC
3,0,0,0,0,NC
174,19,33,5,20,NC
2318,242,586,28,201,NC
2330,172,493,32,246,NC
1497,211,343,17,83,NC
111,5,18,0,11,NC
45,3,3,0,2,NC
11,0,0,0,0,NC
5428,612,1252,61,541,NC
52,1,10,0,3,NC
1,0,1,0,0,NC
16,0,1,0,1,NC
33,3,5,0,3,NC
808,77,181,5,89,NC
3,1,1,0,0,NC
2049,204,471,14,146,NC
24,2,6,2,2,NC
77,9,15,0,7,NC
5793,698,1589,268,891,C
76,8,17,1,12,NC
238,27,58,3,26,NC
4504,522,1099,91,479,NC
926,109,220,10,83,NC
1300,96,250,3,112,NC
4,0,1,0,0,NC
2,0,0,0,0,NC
6158,810,1533,39,396,C
140,14,20,3,12,NC
730,79,153,14,92,C
779,102,143,3,27,NC
2034,253,508,86,306,NC
238,13,32,4,9,NC
34,0,6,0,1,NC
3929,414,859,60,425,NC
334,44,56,0,0,NC
65,6,14,1,9,NC
1283,166,346,1,138,NC
59,4,11,0,3,NC
29,4,7,0,0,NC
3685,350,809,101,399,C
813,94,223,2,76,NC
364,25,62,0,18,NC
38,6,6,0,0,NC
6652,875,1540,81,566,NC
1690,164,406,38,178,NC
2924,275,607,71,330,NC
8674,1091,2048,389,1376,I
377,41,85,4,30,NC
158,7,24,1,11,NC
8959,1187,2251,227,967,C
1153,173,356,50,215,NC
20,1,3,0,1,NC
9041,1213,2135,408,1293,C
0,2,0,0,0,NC
6595,832,1588,135,794,NC
90,8,20,3,10,NC
305,20,49,2,25,NC
2219,271,548,29,254,NC
622,53,150,7,55,NC
3,1,1,0,0,NC
5,1,1,0,0,NC
74,3,12,1,4,NC
1666,144,399,22,164,NC
42,9,13,0,8,NC
44,5,10,0,2,NC
5,0,0,0,0,NC
1087,106,237,2,94,NC
220,2,8,0,4,NC
280,50,52,1,14,NC
5,4,3,0,3,NC
4831,451,1234,24,484,NC
4,2,0,0,0,NC
5665,711,1391,218,820,C
24,1,5,0,1,NC
1325,107,251,26,111,NC
4,0,1,0,0,NC
4,0,0,0,0,NC
50,4,8,0,6,NC
1184,142,239,27,104,NC
51,5,6,1,1,NC
18,0,3,0,1,NC
395,37,88,9,53,NC
12078,1821,3315,47,1300,I
117,22,22,1,4,NC
151,18,35,6,20,NC
124,13,23,3,5,NC
190,14,33,1,14,NC
190,19,45,4,14,NC
4612,331,1129,47,528,NC
2515,287,562,97,341,NC
496,34,107,2,31,NC
13,2,3,0,2,NC
247,10,22,0,12,NC
2193,208,427,17,184,NC
5254,688,1293,221,733,NC
343,52,67,1,19,NC
9019,1025,2092,324,1225,I
12,0,1,0,0,NC
297,47,58,3,38,NC
3810,447,992,25,265,NC
2409,264,476,1,156,NC
76,3,14,0,3,NC
250,15,46,0,10,NC
12,6,3,0,2,NC
9,0,0,0,0,NC
2421,208,564,3,203,NC
63,7,18,0,2,NC
402,42,91,17,40,NC
1245,136,258,47,136,NC
5319,605,1334,107,550,NC
20,3,7,1,1,NC
237,27,48,4,21,NC
7,1,1,0,0,NC
34,6,5,0,2,NC
433,38,72,3,27,NC
44,8,11,0,2,NC
2,0,0,0,0,NC
460,40,95,10,62,NC
4520,461,1011,134,504,NC
5475,628,1354,224,729,C
8333,1182,2397,27,589,I
305,22,76,0,15,NC
9,11,1,0,0,NC
27,2,0,0,1,NC
9,0,1,0,1,NC
44,3,8,0,2,NC
215,20,42,2,10,NC
57,5,12,0,1,NC
55,1,8,0,2,NC
81,6,14,0,7,NC
2469,279,566,8,207,NC
64,4,12,0,4,NC
4,0,0,0,0,NC
1154,157,221,16,101,NC
115,11,19,3,12,NC
4,0,1,0,0,NC
43,3,10,0,2,NC
68,4,11,2,11,NC
797,98,180,10,77,NC
1683,119,342,19,147,NC
1467,140,301,28,150,NC
3,1,0,0,0,NC
137,17,25,4,12,NC
296,20,64,5,32,NC
31,15,9,0,1,NC
5537,994,1574,25,672,NC
7,1,0,0,0,NC
194,20,45,2,24,NC
6,0,2,0,0,NC
4,0,1,0,0,NC
79,7,19,0,0,NC
13,0,1,0,0,NC
121,12,18,0,4,NC
7027,828,1774,207,953,C
2,0,0,0,0,NC
4243,523,964,79,398,NC
2,1,0,0,0,NC
11,2,1,1,1,NC
4,0,0,0,0,NC
50,11,10,0,2,NC
180,24,42,1,12,NC
231,14,28,0,14,NC
162,11,32,2,22,NC
1153,174,272,18,90,NC
2635,216,619,3,234,NC
2880,257,616,42,304,NC
3357,464,884,28,397,NC
18,1,2,0,0,NC
1384,80,272,3,106,NC
1330,98,217,15,75,NC
444,52,85,8,4,NC
1420,194,266,4,47,NC
3,0,0,0,0,NC
9537,1369,2550,388,1561,C
154,21,47,0,17,NC
405,35,76,0,28,NC
179,40,58,0,0,NC
4427,488,1016,27,322,NC
709,50,88,0,27,NC
176,23,30,0,19,NC
491,23,56,0,25,NC
2375,246,538,25,158,NC
0,0,0,0,0,NC
63,6,12,0,2,NC
2467,224,447,84,263,NC
8423,1299,2144,195,920,C
786,91,212,4,57,NC
26,4,5,0,2,NC
53,6,7,0,1,NC
2317,245,529,48,220,NC
179,23,42,1,18,NC
2580,365,618,114,370,NC
1231,103,220,5,71,NC
1997,238,395,16,131,NC
245,25,53,5,28,NC
491,34,92,1,32,NC
1531,191,366,18,163,NC
518,77,116,0,31,NC
13,1,0,0,0,NC
4292,572,918,28,257,NC
171,6,18,0,13,NC
3338,252,749,22,288,NC
20,0,2,0,1,NC
2906,494,681,28,351,NC
136,14,37,0,6,NC
18,0,2,0,0,NC
43,5,7,2,4,NC
4603,535,1019,185,676,NC
10,0,2,0,3,NC
154,10,29,3,15,NC
701,60,153,1,37,NC
26,5,5,0,0,NC
8219,959,2031,354,1244,C
3032,336,726,40,320,C
244,16,61,2,20,NC
17,0,4,0,2,NC
145,16,40,1,12,NC
8525,1123,1963,195,860,C
798,91,158,5,58,NC
2899,323,602,104,348,NC
38,1,5,0,2,NC
489,10,37,0,9,NC
41,3,6,0,2,NC
65,8,9,1,5,NC
62,5,12,0,3,NC
858,83,204,7,73,NC
1617,158,374,33,178,NC
95,13,22,0,4,NC
6,0,0,0,0,NC
938,116,245,7,89,NC
4,0,1,0,0,NC
17,2,6,1,3,NC
1,0,0,0,0,NC
6,1,0,0,0,NC
75,9,14,0,0,NC
827,99,188,10,101,NC
4723,535,1093,89,514,C
9,3,2,0,1,NC
10,2,0,0,0,NC
7070,1075,1551,376,1145,C
9,0,0,0,1,NC
4356,544,1001,141,531,C
2487,282,565,26,242,NC
2,0,1,0,0,NC
51,4,8,2,8,NC
7726,1024,1981,251,1005,C
3,0,2,0,0,NC
6,2,2,0,0,NC
1240,140,292,6,114,NC
2,0,0,0,0,NC
6591,832,1649,115,558,C
6026,787,1668,58,499,C
6077,733,1302,189,851,C
2230,175,466,0,187,NC
5826,688,1237,67,551,NC
6,0,1,0,1,NC
1027,87,218,7,96,NC
1603,152,344,66,218,NC
962,70,209,29,88,NC
9,0,2,0,1,NC
79,7,23,0,12,NC
11,0,0,0,0,NC
137,20,34,0,0,NC
7,0,1,0,0,NC
1764,243,399,20,185,NC
18,2,2,0,2,NC
806,66,137,14,72,NC
274,27,62,1,28,NC
25,2,5,0,2,NC
323,18,41,0,25,NC
1795,157,382,25,146,NC
51,6,12,0,6,NC
558,64,124,11,69,NC
5,0,0,0,0,NC
495,52,90,15,49,NC
186,24,52,0,23,NC
8767,1115,1954,195,918,C
12,1,1,0,0,NC
2,0,0,0,0,NC
776,88,162,12,69,NC
42,4,5,0,1,NC
670,39,175,1,94,NC
20,5,5,3,8,NC
87,8,14,1,10,NC
3177,364,759,127,427,NC
131,12,18,3,9,NC
109,10,20,1,10,NC
14,0,2,0,2,NC
23,5,6,0,2,NC
174,17,26,4,12,NC
1229,166,321,14,111,NC
23,4,4,0,3,NC
