PA,R,H,2B,HR,RBI,SB,HallOfFame
950,63,199,20,3,72,27,NC
101,4,12,0,0,5,1,NC
405,46,104,24,9,52,1,NC
1062,195,266,48,3,154,15,NC
10861,1272,2732,505,379,1652,49,I
1169,120,268,52,24,122,7,NC
1191,113,283,66,10,81,0,NC
18,4,1,1,0,1,0,NC
37,5,11,1,0,7,0,NC
52,7,12,1,2,9,0,NC
3023,368,781,162,47,418,11,NC
4192,295,893,142,15,345,40,NC
1482,144,323,51,21,149,7,NC
18,2,3,0,0,0,0,NC
30,4,5,0,1,2,0,NC
6,1,1,0,1,1,0,NC
60,7,15,1,0,0,0,NC
1089,134,261,47,6,105,29,NC
63,3,6,1,0,2,0,NC
6582,871,1583,259,60,553,179,NC
1074,142,297,45,2,109,13,NC
10517,1542,2829,457,78,1510,291,I
2003,190,444,75,54,211,2,NC
269,16,48,5,0,17,2,NC
2059,249,574,130,45,251,15,NC
106,12,16,0,0,5,1,NC
225,42,55,6,1,24,11,NC
267,28,60,7,5,28,3,NC
2517,362,602,125,10,231,51,NC
100,15,15,2,1,9,4,NC
3072,294,718,86,4,207,27,NC
5394,652,1129,201,228,671,61,NC
803,81,174,32,25,100,6,NC
5,1,0,0,0,0,0,NC
3790,351,824,153,55,455,6,NC
158,11,34,9,2,24,1,NC
53,9,12,1,0,1,0,NC
2184,237,515,97,30,193,16,NC
1082,132,244,45,17,99,21,NC
7838,974,1941,311,90,998,125,C
89,3,17,1,0,3,0,NC
317,45,54,10,1,20,17,NC
1,0,0,0,0,0,0,NC
23,2,7,1,0,6,1,NC
7137,903,1749,312,293,1086,37,C
1763,261,415,91,27,136,53,NC
2143,262,592,105,34,286,35,NC
8115,973,2060,409,204,1106,60,C
6,0,1,0,0,0,0,NC
35,5,8,3,0,2,1,NC
513,192,194,43,5,108,27,NC
195,10,40,3,6,20,0,NC
1471,146,369,60,25,209,4,NC
322,21,64,8,0,22,2,NC
46,3,11,3,1,7,0,NC
7065,930,1969,343,202,1209,37,I
1322,199,335,40,8,156,83,NC
100,12,25,3,0,9,0,NC
5701,580,1345,262,169,757,9,NC
626,74,140,29,15,76,0,NC
2,0,0,0,0,0,0,NC
1400,142,324,47,25,145,6,NC
325,48,60,9,4,18,6,NC
91,5,15,2,1,3,4,NC
1289,116,344,41,2,123,46,NC
150,11,34,8,1,15,0,NC
144,16,26,4,0,6,6,NC
102,10,22,4,3,9,0,NC
2540,261,601,115,53,296,22,NC
2159,276,552,82,8,236,0,NC
4,1,0,0,0,0,0,NC
2411,213,376,36,1,96,42,NC
64,16,15,1,0,7,2,NC
3315,437,782,175,76,367,74,NC
118,32,40,10,0,26,6,NC
42,4,5,0,0,2,0,NC
10,1,2,0,0,3,0,NC
592,50,122,17,3,61,0,NC
1,0,0,0,0,0,0,NC
599,78,123,20,6,56,2,NC
2,0,1,0,0,0,0,NC
370,54,79,7,8,26,17,NC
206,20,50,9,4,28,1,NC
16,1,4,0,1,1,0,NC
3,0,1,0,0,0,0,NC
2382,361,576,70,11,240,55,NC
1386,133,298,24,2,133,33,NC
817,74,161,22,13,64,5,NC
2,0,0,0,0,0,0,NC
842,62,178,21,22,76,0,NC
363,27,86,15,3,39,1,NC
1409,128,327,38,9,132,7,NC
643,57,157,30,6,62,9,NC
230,9,28,3,0,11,2,NC
5927,777,1243,220,303,953,5,C
3999,400,864,127,88,424,13,NC
2,1,0,0,0,0,0,NC
1523,127,379,73,5,152,36,NC
32,3,3,0,0,3,1,NC
7558,914,1899,366,138,1055,61,C
4315,472,914,119,8,384,26,NC
7,2,2,1,0,2,0,NC
3933,445,917,182,152,493,28,NC
2,1,1,1,0,0,0,NC
95,9,25,8,2,15,0,NC
97,9,23,3,1,4,0,NC
2,0,1,0,0,0,0,NC
2487,313,504,43,3,151,208,NC
107,22,22,2,3,10,5,NC
89,7,18,2,0,3,0,NC
392,38,70,5,1,20,10,NC
3,0,0,0,0,0,0,NC
133,17,25,4,2,12,0,NC
5788,703,1390,197,19,725,214,NC
2174,233,536,100,65,267,13,NC
3745,501,908,96,9,286,196,NC
5115,777,1466,341,164,833,70,I
